word,times,recordings,suggestion,type,example (recording),example context
hbcu,1,1,hbu,likely misspelling / mishearing,interview-005,olleges left in the country one of them is a HBCU back in Georgia called Morehouse and I think
hayden,1,1,Hayden | harden | hay-den,likely misspelling / mishearing,salon-052, does the program NOVA. He's the head of the Hayden Planetarium. And he gave a great essay to ki
haya,1,1,haha | hiya | yaya,"check: unusual word, term or non-English",salon-100,ns and athletes get mad about being RuPaul's haya sod or bold enough to tools are also embeddi
havebes,1,1,havens | haves | have's,"check: unusual word, term or non-English",salon-026,Right our next up we havebes we have going to havearazally we have negeen
havearazally,1,1,,"check: unusual word, term or non-English",salon-026,ight our next up we havebes we have going to havearazally we have negeen and brandon's I believe yes y
havard,1,1,Harvard | hazard,likely misspelling / mishearing,salon-070,re was the abstract illusionist movement and havard was one of the names gallagher is another na
hauser,1,1,Mauser | houser | hauler,likely misspelling / mishearing,salon-024,and this more on listening music so!  I like hauser music so I listen I was listening that and I
hasselblad,1,1,Hasselblad,likely misspelling / mishearing,salon-036,"mming.  And a friend of mine had lent me his Hasselblad camera and I shot her. So, so we're just gon"
hassanoff's,1,1,,"check: unusual word, term or non-English",salon-017,"hat. And then I looked at like D. Ann Stein, Hassanoff's work, and I love her vantage point from comi"
hashanah,1,1,Hashanah | hashanahs,likely misspelling / mishearing,salon-087,th Rubin who cannot join us today happy rosh hashanah cynthia this is eden's water eden waters mic
hasenhoff,1,1,,"check: unusual word, term or non-English",salon-014,etroy Sherry Karver and Deann Stein Hasinoff hasenhoff I think I said that correctly I hope I did t
hartney,1,1,Hartley | hearten | heartens,likely misspelling / mishearing,salon-022,"look at theater. Writer, Larry Lipp, Eleanor Hartney, some early Chinese American avant-garde art"
hartnett,1,1,Hartnett | hearten | heartens,likely misspelling / mishearing,salon-020,"e Capitol invasion. And my friend Nicole and Hartnett, who did these photographs of black objects "
hartman,1,1,Hartman | Harman | Hartmann,likely misspelling / mishearing,salon-063,"ally is very different.  Yes. In fact, David Hartman. He wrote an entire book on a scroll that he"
hartfeld,1,1,Hartford,"check: unusual word, term or non-English",salon-018,"f my all-time favorite artists are like John Hartfeld, who was a political artist during the Weima"
harborview,1,1,harbor view | harbor-view,likely misspelling / mishearing,salon-050,ally just to show the potential. This is the Harborview Hospital ceiling. This artwork was actually 
haraways,1,1,caraways,likely misspelling / mishearing,salon-077,"A lot of that was adapted from reading Donna Haraways work. And here, finally, in 20 first century"
hapus,1,1,haps | hap us | hap-us,likely misspelling / mishearing,salon-008,otherwise because instagram is having little hapus at images so I don't know that's the reason 
hao,1,1,has | had | ha,"check: unusual word, term or non-English",salon-108," Stephen Paray. Steven Ferre is one, and Yue Hao Gao. So it was just wonderful working with t"
hansen,1,1,Hansen | Jansen | Hanson,likely misspelling / mishearing,salon-015,"boration with Sophia from the, what was it?  Hansen Robots. Hansen Robotics? Yes. Hansen Robotic"
hanninger,1,1,hanger,likely misspelling / mishearing,interview-024,"pout from the 60s. And so a lot of my, Tanny Hanninger wrote a great article on it in which he call"
hannah,1,1,Hannah | Hanna | hanna,likely misspelling / mishearing,salon-102,"tallation, I collaborated with epigeneticist Hannah Louie Park on new text prompts for landscape"
handyitas,1,1,handy itas | handy-itas,likely misspelling / mishearing,salon-090,s being able to clean their crowns with such handyitas in front of their dramatic lenses. At least 
handi,1,1,hands | hand | Hindi,likely misspelling / mishearing,salon-024,eed a unity so we have a festival called gai handi where we meet the pyramid to reach the goal 
hancock,1,1,Hancock | haycock,likely misspelling / mishearing,salon-099,he effort for it. This is a pastel of Herbie Hancock.
hampstead,1,1,Hampstead | Hempstead | hempstead,likely misspelling / mishearing,salon-083,"Stevenson and abstract expressionists in the Hampstead in London. Jerry Bywaters, and some of my Am"
hammons,1,1,Hammond | hammond | gammons,likely misspelling / mishearing,salon-018,"arcel Duchamp, African-American artist David Hammons, and on and on. There's plenty. The collabor"
hammamule,1,1,,"check: unusual word, term or non-English",salon-023,"y that I've done it. I've also printed it on Hammamule bamboo. On a panel. That's been coated, spec"
hamden-sydney,1,1,,"check: unusual word, term or non-English",interview-005,What college was it? This is Hamden-Sydney College yeah
halsey,1,1,Halsey | Haley | Halley,likely misspelling / mishearing,interview-030,"ojects at the Hunter Museum of American Art, Halsey Institute of Contemporary Art, Pérez Art Mus"
halloran,1,1,Halloween | halogen | halliard,"check: unusual word, term or non-English",salon-052,"ltural context.  Cynthia D Donato, M.D.: Liz halloran born in Chicago Illinois and grew up in the "
halley's,1,1,Halley's | Haley's | alleys,likely misspelling / mishearing,salon-043,"nd an astronomer who predicted the return of Halley's Comet. In the 19th century, we had Ada Lovel"
halif,1,1,half | Hali | Halie,likely misspelling / mishearing,interview-006,uld argue is that there are people like omar halif you know and kalani nicole who runs transfer
hal,1,1,has | had | Hal,"check: unusual word, term or non-English",salon-018, can we can look at them through movies like hal 9000 and 2001 a space odyssey or then we can
hague,1,1,Hague | vague | ague,likely misspelling / mishearing,interview-021,"e Till Museum, or the General Museum. In the Hague. So in another European trip. I went there t"
haggadah,1,1,Haggadah,likely misspelling / mishearing,salon-063,the left outside animals. If you look at the Haggadah that's in the center. The people are talking
hager,1,1,Hager | hater | eager,likely misspelling / mishearing,salon-109,ck when I started Resident Amiga artist Jack Hager to sit in with them. Are you ready to paint 
haeckel,1,1,Haeckel | hackle,likely misspelling / mishearing,presentation-009,"called De Brucke, the bridge, was founded by Haeckel, Kirchner, and Schmidt-Rotloff and others, a"
hachimi,1,1,,"check: unusual word, term or non-English",salon-106, the Prima material with my collection about Hachimi. And that's the definition. And the story co
haar,1,1,hear | hair | haas,"check: unusual word, term or non-English",roundtable-003,l art. My scientist collaborator is Michelle Haar. She is a PhD candidate at the University of
gwankar,1,1,gawker | gnawer,"check: unusual word, term or non-English",salon-099,"iece is, co-created by David Byrne and Marla Gwankar, and it's based on a series of, like, neuros"
gutai,1,1,gut | gutter | gutty,"check: unusual word, term or non-English",salon-104,"r kinds of technology, too. You think of the Gutai artists in Japan, where they were using… the"
gustav,1,1,Gustavo | gusty | gust,likely misspelling / mishearing,salon-082,"etallics in my work. This is influenced from Gustav Klimt and Friedrich hundert foster A, and it"
gus,1,1,Gus | guys | gas,likely misspelling / mishearing,interview-013,se do if you're ever like crossing through a gus you know I'd be happy to show you around the
gurudev,1,1,grooved,"check: unusual word, term or non-English",salon-008,t is founded by great poet and writer artist gurudev ravinara to go I've received polo kisner upo
gurg,1,1,gurl | guru | burg,"check: unusual word, term or non-English",salon-088,"senting today is Anayas Chaturvedi, and Drew Gurg."
gunther,1,1,Gunther | Gunter | gentler,likely misspelling / mishearing,interview-011,"I studied in Dusseldorf. And. I studied with Gunther Uecker, even though I was really, I wanted t"
gunduz,1,1,,"check: unusual word, term or non-English",salon-020,", pretty fun gallery in Williamsburg by Piro Gunduz. And there's a long, narrow hallway. And I s"
gulliver's,1,1,gulper's,"check: unusual word, term or non-English",salon-026,minds me of the illustrations for books like Gulliver's Travels you know yeah it's
gullermy,1,1,gallery,likely misspelling / mishearing,salon-056," name of the story is, well, you guessed it, Gullermy GalaMe 2.0. Visually, GalaMe 2.0 is a human-"
gullahni,1,1,Gallatin,"check: unusual word, term or non-English",interview-025, the plantations here in the south.  And the Gullahni 2.0 tells my dad's history. And in telling m
gullaheechee,1,1,,"check: unusual word, term or non-English",salon-061, the Carolina Lowcountry in the heart of the Gullaheechee Nation of the South Carolina. Right. And I'm
gulla,1,1,gulls | gully | gull,likely misspelling / mishearing,salon-077,"e country. Rich extends well, basically, the gulla country go goes from Greenville, North Carol"
guideulk,1,1,,"check: unusual word, term or non-English",salon-101,lex movements and primary movements and pose guideulk motion across each scene I create and based 
guganine,1,1,guanine,likely misspelling / mishearing,salon-083," I believe, mid to late 1990s. It was at the Guganine, and so they had a small satellite gallery, "
guerin,1,1,guerrilla,"check: unusual word, term or non-English",salon-103,ll my Mount Jews or gifts that go into their Guerin painted shapes. Like these pictures that are
guattari,1,1,guitar | gutter,"check: unusual word, term or non-English",salon-019, interested in the philosophy of Deleuze and Guattari. And the idea of the or the concept of the b
gu,1,1,goo,"check: unusual word, term or non-English",salon-097, I worked with math experts some use univers Gu Florida University level math Meliek beliefs
gruth,1,1,truth | Ruth | ruth,likely misspelling / mishearing,salon-035,"on in my life I met another guy called Derek Gruth. Derek, he was the founder of New York Exami"
groundedness,1,1,roundedness,likely misspelling / mishearing,salon-037,"act that it... It somehow gives me kind of a groundedness, you know, to things.  And... I think one th"
